year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_salary,gross_monthly_salary
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,97.4,96.1,3701,3727
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),97.1,95.7,2850,2938
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),90.9,85.7,3053,3214
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,87.5,87.5,3557,3615
2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,95.3,95.3,3494,3536
2013,Nanyang Technological University,College of Engineering,Bioengineering,81.3,68.8,2952,3166
2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,87.3,85.1,3235,3377
2013,Nanyang Technological University,College of Engineering,Computer Engineering,90.3,88.2,3326,3374
2013,Nanyang Technological University,College of Engineering,Civil Engineering,94.8,93.8,3091,3182
2013,Nanyang Technological University,College of Engineering,Computer Science,92.1,88.5,3249,3306
2013,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,91,88.7,3133,3187
2013,Nanyang Technological University,College of Engineering,Environmental Engineering,84,81.5,3091,3140
2013,Nanyang Technological University,College of Engineering,Information Engineering and Media,85.7,79.6,3160,3203
2013,Nanyang Technological University,College of Engineering,Materials Engineering,82.5,78.9,2989,3096
2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,91.6,89.5,3125,3226
2013,Nanyang Technological University,College of Engineering,Maritime Studies,95.6,93.3,3050,3111
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",81.6,61.4,2639,2638
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,85.1,80.5,2818,2924
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,89.4,79.6,2893,2956
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,89.9,83.5,3085,3148
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,82.7,67.3,3087,3179
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,90.6,81.3,2691,2725
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,82.4,71.8,3007,3061
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,74.4,55.8,2980,3082
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences **,na,na,na,na
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,90.7,88.4,2840,2883
2013,Nanyang Technological University,College of Sciences,Biological Sciences,78.6,68.1,2881,3002
2013,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,79.8,68.9,2993,3083
2013,Nanyang Technological University,College of Sciences,Mathematics & Economics **,na,na,na,na
2013,Nanyang Technological University,College of Sciences,Mathematical Science,86,83.7,3169,3262
2013,Nanyang Technological University,College of Sciences,Physics / Applied Physics,80.8,69.2,3164,3208
2013,Nanyang Technological University,College of Sciences,Sports Science and Management,68.2,59.1,2968,2985
2013,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3377,3478
2013,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3413,3506
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,84.8,70.1,2741,2888
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),86.6,74.6,3057,3154
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.1,76.8,3098,3210
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration,88.7,81.7,2960,3062
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),94.6,90.3,3404,3512
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),93.3,88.9,2740,2922
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),97.2,94.4,3065,3143
2013,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),88.9,77.8,3350,3377
