Classroom,ID,Maze Source,Name,Type,Description,Size,Solved by,Created at,Updated at,Gem,Heart,Enemy,Obstacle,Action,Condition,Selection,Repetition,Solution,Life,Steps,Solving Time,Time user enters maze,Time script button is clicked,Time execute button is clicked,Time maze is solved,Time maze is published,Maze Solution
T1,1411,687,Commands_Lesson 1,tutorial,,3x8,417,2023-08-21T00:42:43.000,2023-08-21T00:42:43.000,0,0,0,16,3,0,0,0,3,300,3,57.44100189,21/08/2023 8:42,21/08/2023 8:42,21/08/2023 8:43,21/08/2023 8:43,,"moveForward
moveForward
moveForward"
T1,1460,687,Commands_Lesson 1,tutorial,,3x8,421,2023-08-21T00:45:34.000,2023-08-21T00:45:34.000,0,0,0,16,3,0,0,0,3,300,3,182.5225067,21/08/2023 8:42,21/08/2023 8:44,21/08/2023 8:45,21/08/2023 8:45,,"moveForward
moveForward
moveForward"
T1,1544,688,Commands_Lesson 2,tutorial,,7x7,421,2023-08-21T00:48:15.000,2023-08-21T00:48:15.000,0,0,1,32,7,0,0,0,7,300,6,153.4470062,21/08/2023 8:46,21/08/2023 8:46,21/08/2023 8:48,21/08/2023 8:48,,"moveForward
moveForward
moveForward
turnRight
moveForward
moveForward
moveForward"
T1,1441,687,Commands_Lesson 1,tutorial,,3x8,407,2023-08-21T00:44:18.000,2023-08-21T00:44:18.000,0,0,0,16,3,0,0,0,3,300,3,61.69449997,21/08/2023 8:43,21/08/2023 8:44,21/08/2023 8:44,21/08/2023 8:44,,"moveForward
moveForward
moveForward"
T1,1500,688,Commands_Lesson 2,tutorial,,7x7,407,2023-08-21T00:46:46.000,2023-08-21T00:46:46.000,0,0,1,32,7,0,0,0,7,300,6,141.4075012,21/08/2023 8:44,21/08/2023 8:44,21/08/2023 8:47,21/08/2023 8:47,,"moveForward
moveForward
moveForward
turnRight
moveForward
moveForward
moveForward"
T1,1527,689,Commands_Lesson 3,tutorial,,7x7,407,2023-08-21T00:47:48.000,2023-08-21T00:47:48.000,0,0,0,33,15,0,0,0,15,300,12,57.37139893,21/08/2023 8:47,21/08/2023 8:47,21/08/2023 8:48,21/08/2023 8:48,,"moveForward
moveForward
moveForward
moveForward
turnRight
moveForward
moveForward
moveForward
moveForward
turnRight
moveForward
moveForward
turnRight
moveForward
moveForward"
T1,1527,689,Commands_Lesson 3,tutorial,,7x7,407,2023-08-21T00:47:48.000,2023-08-21T00:47:48.000,0,0,0,33,15,0,0,0,15,300,12,57.37139893,21/08/2023 8:47,21/08/2023 8:47,21/08/2023 8:48,21/08/2023 8:48,,"moveForward
moveForward
moveForward
moveForward
turnRight
moveForward
moveForward
moveForward
moveForward
turnRight
moveForward
moveForward
turnRight
moveForward
moveForward"
T1,1563,690,Commands_Lesson 4,tutorial,,7x7,407,2023-08-21T00:48:48.000,2023-08-21T00:48:48.000,1,0,1,32,8,0,0,0,8,300,6,53.02069855,21/08/2023 8:48,21/08/2023 8:48,21/08/2023 8:49,21/08/2023 8:49,,"moveForward
moveForward
turnRight
moveForward
moveForward
turnRight
moveForward
moveForward"
T1,1434,687,Commands_Lesson 1,tutorial,,3x8,409,2023-08-21T00:44:04.000,2023-08-21T00:44:04.000,0,0,0,16,3,0,0,0,3,300,3,190.901001,21/08/2023 8:41,21/08/2023 8:43,21/08/2023 8:44,21/08/2023 8:44,,"moveForward
moveForward
moveForward"
T1,1546,688,Commands_Lesson 2,tutorial,,7x7,409,2023-08-21T00:48:19.000,2023-08-21T00:48:19.000,0,0,1,32,7,0,0,0,7,300,6,247.8580017,21/08/2023 8:44,21/08/2023 8:44,21/08/2023 8:48,21/08/2023 8:48,,"moveForward
moveForward
moveForward
turnRight
moveForward
moveForward
moveForward"
T1,,687,Commands_Lesson 1,tutorial,,3x8,400,,2023-08-21T00:42:20.000,0,0,0,16,3,0,0,0,3,300,3,17.78129959,21/08/2023 8:42,21/08/2023 8:42,21/08/2023 8:42,21/08/2023 8:42,,"moveForward
moveForward
moveForward"
T1,1446,687,Commands_Lesson 1,tutorial,,3x8,374,2023-08-21T00:44:39.000,2023-08-21T00:44:39.000,0,0,0,16,4,2,2,0,8,300,3,363.8630066,21/08/2023 8:38,21/08/2023 8:39,21/08/2023 8:44,21/08/2023 8:44,,"if (NotReachDest)
{
    moveForward
}
else
{
    attack
}
repeatCount = 1;
if (repeatCount < 5)
{
    repeatCount add 1
    moveForward
    moveForward
}"
